MAIGNAN
GILA
ABANKWAH
"GUESSAND A."
BRONN
SOSA
GUARINO
"CARBONI F."
FLAMINGO
SMAJLOVIC
SZYMINSKI
KLITTEN
MATTURRO
N'GUESSAN
"MATEUS LUSUARDI"
KALAJ
PIEROZZI
HUIJSEN
BONFANTI
PELLEGRINO
ZACCAGNI
KOOPMEINERS
"FELIPE ANDERSON"
"LUIS ALBERTO"
RABIOT
ZIELINSKI
BARELLA
PULISIC
ORSOLINI
CHUKWUEZE
STREFEZZA
FERGUSON
CANDREVA
CALHANOGLU
FRATTESI
SAMARDZIC
VLASIC
"EL SHAARAWY"
AOUAR
BONAVENTURA
"PELLEGRINI LO."
POLITANO
MALINOVSKYI
LOVRIC
KAMADA
LINDSTROM
LAZOVIC
LOFTUS-CHEEK
"ZAMBO ANGUISSA"
ELMAS
KOSTIC
"GUDMUNDSSON A."
BALDANZI
CIURRIA
PASALIC
MKHITARYAN
PESSINA
GUENDOUZI
LOBOTKA
BAJRAMI
"RICCI S."
REIJNDERS
POGBA
"RENATO SANCHES"
FAGIOLI
IKONE'
DOMINGUEZ
ILIC
RADONJIC
NDOYE
"EDERSON D.S."
COLPANI
"DE ROON"
LOCATELLI
BARAK
SAPONARA
CRISTANTE
MANDRAGORA
WEAH
HJULMAND
MATIC
BENNACER
KLAASSEN
CASTROVILLI
MIRANCHUK
MUSAH
"MATHEUS HENRIQUE"
"DE KETELAERE"
MBOULA
CATALDI
VERDI
JANKTO
SOTTIL
"ARTHUR MELO"
DUDA
SCHOUTEN
THORSBY
NANDEZ
TAMEZE
MARIN
MESSIAS
MCKENNIE
REINIER
ZALEWSKI
"COULIBALY L."
HARROUI
SABIRI
KRUNIC
PAREDES
FREULER
GAGLIARDINI
KASTANOS
"LOPEZ M."
GYASI
FRENDRUP
"MORO N."
RAMADANI
MANCOSU
VECINO
STROOTMAN
DUNCAN
MACHIN
SENSI
LINETTY
WALACE
AMRABAT
BRESCIANINI
POBEGA
BOVE
AEBISCHER
THORSTVEDT
BLIN
"GONZALEZ J."
OUDIN
FABBIAN
RAFIA
"CAJUSTE "
KABA
GRASSI
BADELJ
MAZZITELLI
CASTILLEJO
HONGLA
MIRETTI
FAZZINI
"ILING JUNIOR"
ORISTANIO
BOLOCA
MAKOUMBOU
MARTEGANI
SERDAR
PAYERO
BAEZ
DEIOLA
ARAMU
BOURABIA
ROVELLA
SAELEMAEKERS
MALDINI
RACIC
KOVALENKO
MALEH
BOHINEN
"MARCOS ANTONIO"
"RANOCCHIA F."
INFANTINO
KUTLU
TCHATCHOUA
HAAS
GARRITANO
"HENDERSON L."
QUINA
ADOPO
MAGGIORE
"ROMERO L."
BASIC
ASLLANI
KOURFALIDIS
TCHAOUNA
"SULEMANA I."
BARRENECHEA
GELLI
FOLORUNSHO
SUSLOV
"COULIBALY M."
VIGNATO
VALOTI
GAETANO
JAGIELLO
OBIANG
"AKPA AKPRO"
URBANSKI
VOLPATO
"VIGNATO S."
HRUSTIC
ZARRAGA
"CAMARA E."
AMATUCCI
D'ALESSANDRO
VIOLA
"LULIC K."
BENASSI
ROG
MELEGONI
CROCIATA
"NICOLUSSI CAVIGLIA"
DEMME
PYYHTIA
PAFUNDI
HELGASON
ADLI
BONDO
ZERBIN
ILKHAN
"DEGLI INNOCENTI"
"CARBONI V."
FATICANTI
GINEITIS
BELARDINELLI
"EL AZZOUZI"
LELLA
HAOUDI
LIPANI
SACO
JOSELITO
PAGANO
LEGOWSKI
PRATI
OSIMHEN
"MARTINEZ L."
"RAFAEL LEAO"
IMMOBILE
BERARDI
LUKAKU
KVARATSKHELIA
DYBALA
VLAHOVIC
GIROUD
SCAMACCA
DIA
THURAM
LOOKMAN
SANABRIA
ARNAUTOVIC
RETEGUI
NZOLA
CABRAL
LAURIENTE'
BETO
"ZAPATA D."
CHIESA
MILIK
"GONZALEZ N."
OKAFOR
"TOURE' E."
"BELTRAN L."
LAPADULA
CAPRARI
SANCHEZ
ABRAHAM
CAPUTO
NGONGE
MURIEL
PINAMONTI
DEULOFEU
JOVIC
BARROW
ZIRKZEE
CEESAY
KRSTOVIC
PETAGNA
BELOTTI
SIMEONE
CAMBIAGHI
SHOMURODOV
AZMOUN
CASTELLANOS
CORREA
THAUVIN
PEDRO
BREKALO
LOZANO
HENRY
MULATTIERI
ALMQVIST
ISAKSEN
KARLSSON
KEAN
KARAMOH
DJURIC
"DAVIS K."
MOTA
BRENNER
CHEDDIRA
DEFREL
"DI FRANCESCO F."
RASPADORI
COLOMBO
LUVUMBO
BANDA
BONAZZOLI
PELLEGRI
KOUAME'
PICCOLI
SUCCESS
BOTHEIM
SOLBAKKEN
LUCCA
CASO
LASAGNA
"CODA M."
CANCELLIERI
JOVANE
PAVOLETTI
SOULE'
"ALVAREZ A."
CUNI
ORIGI
ESPOSITO
EKUBAN
SECK
KVERNADZE
DESTRO
"VAN HOOIJDONK"
CEIDE
BORRELLI
MARIC
"SHPENDI S."
IKWUEMESI
PUSCAS
"LATTE LATH"
"AKE' M."
KOKORIN
BRAAF
RAIMONDO
KALLON
"KAIO JORGE"
"VOELKERLING PERSSON"
"VALENCIA D."
"RODRIGUEZ P."
EKONG
VIVALDO
BIDAOUI
YALCIN
DIAW
BURNETE
CORFITZEN
STEWART
YILDIZ
